old_hash_id,author_name,content,source_url,source_name,title,image_url,created_at,score,category_names,impressive_score
sports-ministry-has--no-details--of-inquiry-report-on-brij-bhushan-1723277521446,System User,"As India celebrates Vinesh Phogat's historic performance at the 2024 Paris Olympics, RTI findings reveal that the investigation into allegations of sexual misconduct against Brij Bhushan Singh remains shrouded in secrecy. In response to an RTI seeking information about the Mary Kom-led oversight committee probing the case, the Sports Ministry claimed, ""this information is not available."" ",https://www.thequint.com/news/politics/vinesh-phogat-paris-olympics-wrestlers-protest-brij-bhushan-sharan-case-investigation-exclusive?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,The Quint,Sports Ministry has 'no details' of inquiry report on Brij Bhushan,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723277404176_181.jpg?,10-08-2024 08:12,800,"sports,national",12.93
pm-modi-conducts-aerial-survey-of-landslide-hit-areas-of-wayanad-1723277221407,Dharini Mudgal,"Prime Minister Narendra Modi on Saturday conducted an aerial survey of landslide-affected areas of Kerala's Wayanad. The PM, who also physically visited the affected areas, was accompanied by Kerala Governor Arif Mohammed Khan, Chief Minister Pinarayi Vijayan and Union Minister of State Suresh Gopi. Notably, over 300 people lost their lives after multiple landslides hit Wayanad on July 30.",https://www.youtube.com/watch?utm_campaign=fullarticle&v=YrTABECpFZs&utm_medium=referral&utm_source=inshorts,YouTube,PM Modi conducts aerial survey of landslide-hit areas of Wayanad,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723275648230_273.jpg?,10-08-2024 08:07,800,national,47.33
pm-modi-carries-out-aerial-survey-of-disaster-hit-areas-of-wayanad-1723275906093,System User,"Prime Minister Narendra Modi, joined by CM Pinarayi Vijayan, conducted an aerial survey of Wayanad's landslide-hit areas, focusing on Iruvazhinji Puzha, Punchiri Mattam, Mundakkai, and Chooralmala. PM Modi then visited affected sites, met with victims, and reviewed relief and rehabilitation efforts to ensure effective support.",https://www.thehawk.in/posts/pm-modi-undertakes-aerial-survey-of-landslide-affected-areas-in-wayanad?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,The Hawk,PM Modi carries out aerial survey of disaster-hit areas of Wayanad,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723275847405_761.jpg?,10-08-2024 07:45,800,"politics,national",12.56
pm-modi-arrives-in-kerala--heads-to-wayanad-landslide-zones-1723270816672,System User,"Prime Minister Narendra Modi visited landslide-affected Wayanad to review relief efforts. He conducted an aerial survey, visited disaster sites, and met with victims at relief camps and hospitals. PM Modi was joined by Kerala's Governor and Chief Minister. The state government seeks national disaster status for the calamity.",https://www.thehawk.in/posts/kerala:-pm-modi-arrives-in-kannur-to-visit-landslide-affected-areas-in-wayanad?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,The Hawk,"PM Modi arrives in Kerala, heads to Wayanad landslide zones",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723270780210_622.jpg?,10-08-2024 06:20,800,"politics,national",12.56
dk-police-intensify-cybercrime-awareness-and-prevention-efforts-1723268973251,System User,"The Dakshina Kannada district police are stepping up their fight against the rising tide of cybercrimes. SP Yathish N expressed concern over the increasing number of educated individuals and professionals falling victim to these crimes. To tackle this, the police have launched enhanced awareness campaigns through social media, sharing short videos on cybercrime prevention.",https://newskarnataka.com/crime/dakshina-kannada-police-intensify-cybercrime-awareness-and-prevention-efforts/10082024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,News Karnataka,DK Police intensify cybercrime awareness and prevention efforts,https://nis-gs.pix.in/inshorts/images/v1/variants/webp/m/2024/08_aug/10_sat/img_1723268918648_743.webp?,10-08-2024 05:49,800,national,12.33
icar-cpcri-issues-advisory-to-combat-arecanut-fruit-rot-1723268689169,System User,"The ICAR-Central Plantation Crops Research Institute has released an advisory to control the spread of arecanut fruit rot, also known as koleroga, which has become more prevalent due to continuous rainfall in certain areas. Farmers who were unable to spray their crops in July are now facing a higher risk of infection, making it crucial to implement control measures.",https://newskarnataka.com/market-finance/icar-cpcri-issues-advisory-to-combat-arecanut-fruit-rot-amid-heavy-rain/10082024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,News Karnataka,ICAR-CPCRI issues advisory to combat Arecanut fruit rot,https://nis-gs.pix.in/inshorts/images/v1/variants/webp/m/2024/08_aug/10_sat/img_1723268628442_668.webp?,10-08-2024 05:44,800,national,12.33
mangaluru-woman-praised-for-bravery-in-rescuing-9-foot-python-1723268147701,System User,"A resident of Dongerkery has earned widespread praise for her courageous act of capturing and safely rescuing a 9-foot-long python found near the cowshed of Balakrishna Nayak’s house. The incident occurred around 9:30 PM on Tuesday, when the massive snake was spotted near Balakrishna’s barn, sparking concern and fear among the locals who quickly gathered at the scene.",https://newskarnataka.com/karnataka/mangaluru/mangaluru-woman-praised-for-bravery-in-rescuing-9-foot-python/10082024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle#google_vignette,News Karnataka,Mangaluru woman praised for bravery in rescuing 9-foot python,https://nis-gs.pix.in/inshorts/images/v1/variants/webp/m/2024/08_aug/10_sat/img_1723268097780_581.webp?,10-08-2024 05:35,800,national,12.33
new-indian-railways-projects-costing--24-000-crore-approved-1723268119144,System User,"The Cabinet Committee on Economic Affairs has recently approved eight new projects for Indian Railways which will increase the existing rail network by 900 kilometres. The projects will be undertaken in 14 districts in seven states, which include Maharashtra, Odisha, Andhra Pradesh, Jharkhand, Bihar, Telangana and West Bengal. The total cost of the project is estimated at ₹24,657 crore.",https://www.freepressjournal.in/india/indian-railways-8-new-projects-costing-24k-crore-approved-includes-maha-bihar-telangana?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Free Press Journal,"New Indian Railways projects costing ₹24,000 crore approved",https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723268068325_303.jpg?,10-08-2024 05:35,800,national,12.33
suvendu-adhikari-demands-cbi-probe-in-case-of-woman-doctor-s-death-1723267994909,System User,"BJP leader Suvendu Adhikari demanded a CBI inquiry into the death of a 31-year-old postgraduate doctor at Kolkata's RG Kar Medical College, alleging possible murder and rape. He criticizes the state government's inadequate response and urges student protests. The incident has triggered a political uproar in West Bengal.",https://www.thehawk.in/posts/bjp-leader-suvendu-adhikari-demands-cbi-enquiry-into-the-rg-kar-medical-college-death-case?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,The Hawk,Suvendu Adhikari demands CBI probe in case of woman doctor's death,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/10_sat/img_1723267951387_195.jpg?,10-08-2024 05:33,800,"politics,national",12.56
apollo-diagnostics-invests--250-crore-in-west-bengal-1723224266094,System User,"Apollo Diagnostics has launched its 140th processing lab in Kasba, South Kolkata, with a monthly capacity of 25,000 samples. Certified lab doctors and technicians provide expert services to customers. The company has invested ₹250 crore in its business expansion in West Bengal.             ",https://www.healthcareradius.in/features/business/apollo-diagnostics-invests-250-cr-in-w-bengal?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,Healthcare Radius,Apollo Diagnostics invests ₹250 crore in West Bengal,https://nis-gs.pix.in/inshorts/images/v1/variants/jpg/m/2024/08_aug/9_fri/img_1723224136358_583.jpg?,09-08-2024 17:24,800,"FINANCE,science,Health___Fitness,national",13
